fid,focalpop,indID,treatmentcode,comparison,time,ordernum,order,poptreatment,typetreatm,treatment,beh1
45,Pacific,CT04,D04,CT04-with-D04,9.5,3,third,Chiapas,alopatric,alop_Chiapas,0.02931
46,Pacific,CT05,D05,CT05-with-D05,9,6,sixth,Chiapas,alopatric,alop_Chiapas,0.16941
47,Pacific,CT06,D06,CT06-with-D06,10,5,fifth,Chiapas,alopatric,alop_Chiapas,1.34661
48,Pacific,CT07,D07,CT07-with-D07,9.75,3,third,Chiapas,alopatric,alop_Chiapas,-0.20209
49,Pacific,CT08,D08,CT08-with-D08,10.75,4,fourth,Chiapas,alopatric,alop_Chiapas,-0.93524
50,Pacific,CT09,D09,CT09-with-D09,10,2,second,Chiapas,alopatric,alop_Chiapas,1.24843
51,Pacific,CT10,D10,CT10-with-D10,9.75,1,first,Chiapas,alopatric,alop_Chiapas,0.81926
52,Pacific,CT11,D11,CT11-with-D11,11.5,5,fifth,Chiapas,alopatric,alop_Chiapas,-0.93524
53,Pacific,CT12,D12,CT12-with-D12,9,6,sixth,Chiapas,alopatric,alop_Chiapas,-0.93524
54,Pacific,CT14,D14,CT14-with-D14,7.75,2,second,Chiapas,alopatric,alop_Chiapas,-0.93524
55,Pacific,CT15,D13,CT15-with-D13,11.75,4,fourth,Chiapas,alopatric,alop_Chiapas,0.79642
56,Pacific,CT16,D02,CT16-with-D02,10.5,2,second,Chiapas,alopatric,alop_Chiapas,1.52153
57,Pacific,CT01,E01,CT01-with-E01,8.25,5,fifth,Central_america,alopatric,alop_CentralAmerica,1.58154
58,Pacific,CT03,E03,CT03-with-E03,8.25,6,sixth,Central_america,alopatric,alop_CentralAmerica,-0.93524
59,Pacific,CT04,E04,CT04-with-E04,9.5,2,second,Central_america,alopatric,alop_CentralAmerica,-0.93524
60,Pacific,CT05,E05,CT05-with-E05,9,5,fifth,Central_america,alopatric,alop_CentralAmerica,1.43929
61,Pacific,CT06,E06,CT06-with-E06,10,3,third,Central_america,alopatric,alop_CentralAmerica,0.5985
62,Pacific,CT07,E07,CT07-with-E07,9.75,4,fourth,Central_america,alopatric,alop_CentralAmerica,0.66193
63,Pacific,CT08,E08,CT08-with-E08,10.75,5,fifth,Central_america,alopatric,alop_CentralAmerica,-0.93524
64,Pacific,CT09,E09,CT09-with-E09,10,3,third,Central_america,alopatric,alop_CentralAmerica,-0.71819
65,Pacific,CT10,E10,CT10-with-E10,9.75,5,fifth,Central_america,alopatric,alop_CentralAmerica,-0.93524
66,Pacific,CT11,E11,CT11-with-E11,11.5,2,second,Central_america,alopatric,alop_CentralAmerica,-0.54783
67,Pacific,CT12,E12,CT12-with-E12,9,1,first,Central_america,alopatric,alop_CentralAmerica,0.91367
68,Pacific,CT14,E14,CT14-with-E14,7.75,6,sixth,Central_america,alopatric,alop_CentralAmerica,0.34247
69,Pacific,CT15,E13,CT15-with-E13,11.75,5,fifth,Central_america,alopatric,alop_CentralAmerica,-0.02721
70,Pacific,CT16,E02,CT16-with-E02,10.5,3,third,Central_america,alopatric,alop_CentralAmerica,0.9548
